simulation_time,altitude,filtered_roll,filtered_pitch,filtered_yaw,ml_roll_error,ml_pitch_error,ml_yaw_error,stability_index,air_drift
1.088,0.08570874272492959,7.438604595530647e-07,-0.04542459077847549,-2.0461836666305198,-0.00040347872083091457,-0.03252058128530212,-1.0141483764627655,0.9772873326805325,6.860646985504488e-07
1.168,0.08570879902978096,1.0330186768859032e-06,-0.06126389377988059,-2.7596437984038134,0.0037257062235154306,-0.04993867678347044,-2.285249634635067,0.9693675366007213,1.8303084947086127e-06
1.248,0.08570890794336493,1.1708824645339202e-06,-0.06678835971660516,-3.00841196806974,0.005165880285143854,-0.05601574595337966,-2.730724209862604,0.9666052347004651,3.0701863107030593e-06
1.328,0.08570907110280354,1.2568182615762054e-06,-0.06871725310137532,-3.0951520699257316,0.005668802459437036,-0.05814026728685283,-2.886948766835854,0.9656407450401816,4.322556267765484e-06
1.408,0.08570928869721467,1.3247176138914806e-06,-0.06939344562906792,-3.1253964784577466,0.005841347683347505,-0.05888705214833953,-2.9436710044371144,0.9653026148266591,5.575491229852508e-06
1.488,0.08570956071196309,1.3863351445260337e-06,-0.069633846732994,-3.135942057377371,0.005903424531738101,-0.05915520917273859,-2.9611925216624737,0.9651823834659308,6.828515835124977e-06
1.568,0.08570988714337215,1.4457638403506197e-06,-0.06972329516239024,-3.1396190797238472,0.005924720014392723,-0.05925729963160317,-2.9664884766950896,0.9651376295368848,8.081574863288758e-06
1.6480000000000001,0.08571026798851214,1.5044303730618356e-06,-0.06976110805242514,-3.140901185086631,0.005933070750475493,-0.05930253315911213,-2.9695556257741837,0.9651186937586009,9.334661777279073e-06
1.728,0.0857107032441177,1.5628322787167757e-06,-0.0697819151472317,-3.141348235139452,0.005938157562393716,-0.05932905273562622,-2.971245484729713,0.9651082610102448,1.058777668196776e-05
1.808,0.08571119290647194,1.6211431818186782e-06,-0.06979779109189588,-3.1415041200175926,0.005939961578046706,-0.05935009539741301,-2.974489096356595,0.9651002938824611,1.1840921123406201e-05
1.8880000000000001,0.08571173697139495,1.6794237726754715e-06,-0.06981294605468916,-3.141558482485122,0.005940471371181998,-0.05937050253339397,-2.9757211895068125,0.9650926872607691,1.309409746825729e-05
1.968,0.08571233543424131,1.7376953643127212e-06,-0.06982884803034699,-3.141577446885308,0.00594419501184926,-0.059391555213090336,-2.9750606561531647,0.9650847071371443,1.4347307895177255e-05
2.048,0.08571298828990118,1.7959655400368874e-06,-0.06984600887679009,-3.141584069351126,0.005947559566903531,-0.059414165979290556,-2.9784083263598236,0.965076097578835,1.5600555256108602e-05
